column,public_role,feature_family,description,manuscript_use,boundary
polymer_group,group_key,validation_key,Polymer identity key for grouped validation,Defines held-out polymer groups,Public toy groups are synthetic; exact assignments use the non-public observation table
chemistry_family_group,context_key,validation_context,Example chemistry family grouping field,Illustrates chemistry-family holdout language,Public toy families are synthetic; exact assignments use the non-public observation table
source_context_group,context_key,source_context,Example source-context grouping field,Illustrates source-held-out offset checks,Public toy contexts are synthetic; internal mapping uses the non-public observation table
reported_temperature_c,base_covariate,BASE,Reported measurement temperature,Represents condition-aware reported-conductivity modeling,Public toy values only demonstrate code path; locked metrics use the non-public observation table
iec_mmol_g,base_covariate,BASE,Ion exchange capacity covariate,Represents reported membrane/test covariates used in the hydroxide-conductivity model,Public toy values only demonstrate code path; locked metrics use the non-public observation table
thickness_um,base_covariate,BASE,Membrane thickness covariate,Represents measurement and membrane-state information,Public toy values only demonstrate code path; locked metrics use the non-public observation table
water_uptake_wt,base_covariate,BASE,Water uptake covariate,Represents hydration-state contribution to reported hydroxide conductivity,Public toy values only demonstrate code path; locked metrics use the non-public observation table
swelling_ratio_pct,base_covariate,BASE,Swelling ratio covariate,Represents hydration and dimensional response,Public toy values only demonstrate code path; locked metrics use the non-public observation table
hydration_number,base_covariate,BASE,Hydration number covariate,Represents reported hydration level,Public toy values only demonstrate code path; locked metrics use the non-public observation table
reported_hydroxide_conductivity_ms_cm,target,target,Reported hydroxide conductivity target before log10 transform,Defines the reported hydroxide-conductivity target,Public toy target has no membrane meaning; locked metrics use the non-public observation table
synthetic_structure_token_1,structure_input,GENERIC,Primary synthetic structure token,Feeds public generic structure descriptors,Public toy structure tokens are synthetic; manuscript descriptors use the non-public observation table
synthetic_structure_token_2,structure_input,GENERIC,Optional synthetic structure token,Feeds public generic structure descriptors,Public toy structure tokens are synthetic; manuscript descriptors use the non-public observation table
ratio_1,structure_input,GENERIC,Primary composition ratio,Feeds composition entropy proxy,Public toy ratios are synthetic; manuscript descriptors use the non-public observation table
ratio_2,structure_input,GENERIC,Optional second composition ratio,Feeds composition entropy proxy,Public toy ratios are synthetic; manuscript descriptors use the non-public observation table
aem_cation_to_anchor_descriptor,aem_descriptor,AEM_DESCRIPTOR,Synthetic cation-placement descriptor,Demonstrates AEM descriptor feature-family path,Public toy descriptor is not a direct membrane measurement; locked metrics use the non-public observation table
free_volume_descriptor,aem_descriptor,AEM_DESCRIPTOR,Synthetic free-volume-related descriptor,Demonstrates AEM descriptor feature-family path,Public toy descriptor is not a direct free-volume measurement; locked metrics use the non-public observation table
hydration_connectivity_descriptor,aem_descriptor,AEM_DESCRIPTOR,Synthetic hydration-connectivity descriptor,Demonstrates AEM descriptor feature-family path,Public toy descriptor is not a direct water-channel measurement; locked metrics use the non-public observation table
transport_balance_descriptor,aem_descriptor,AEM_DESCRIPTOR,Synthetic transport-balance descriptor,Demonstrates AEM descriptor feature-family path,Public toy descriptor is not a direct transport-pathway measurement; locked metrics use the non-public observation table
inv_temperature_k,base_covariate,BASE_DERIVED,Inverse absolute temperature derived from reported temperature,Demonstrates derived condition covariate,Public toy feature only demonstrates preprocessing; locked metrics use the non-public observation table
structure_token_length_proxy,generic_proxy,GENERIC,Simple length proxy from synthetic structure tokens,Demonstrates generic molecular descriptor branch,Public toy feature is not an RDKit descriptor; locked metrics use the non-public observation table
lowercase_token_proxy,generic_proxy,GENERIC,Simple lowercase-character count from synthetic structure tokens,Demonstrates generic molecular descriptor branch,Public toy feature is not an RDKit descriptor; locked metrics use the non-public observation table
uppercase_token_proxy,generic_proxy,GENERIC,Simple uppercase-character count from synthetic structure tokens,Demonstrates generic molecular descriptor branch,Public toy feature is not an RDKit descriptor; locked metrics use the non-public observation table
separator_token_proxy,generic_proxy,GENERIC,Simple separator-character count from synthetic structure tokens,Demonstrates generic molecular descriptor branch,Public toy feature is not an RDKit descriptor; locked metrics use the non-public observation table
composition_entropy_proxy,generic_proxy,GENERIC,Simple entropy proxy from toy composition ratios,Demonstrates composition descriptor branch,Public toy feature is not a manuscript descriptor value; locked metrics use the non-public observation table
